Run,RunStart,RunDuration,Comment
22,Apr/15/2022 10:33:04,434.825,beryllium window broken
21,Apr/15/2022 10:27:36,326.89,
20,Apr/15/2022 10:10:57,241.925,
19,Apr/15/2022 10:08:48,30.914,
18,Apr/15/2022 8:43:21,295.181,
17,Apr/15/2022 8:37:51,41.165,
16,Apr/14/2022 19:34:31,40.992,
15,Apr/14/2022 8:52:20,459.995,
14,Apr/14/2022 8:42:27,439.157,
13,Apr/14/2022 8:41:19,63.685,
12,Apr/14/2022 8:33:15,425.532,
11,Apr/14/2022 7:36:12,658.862,
10,Apr/14/2022 6:52:14,482.508,
9,Apr/14/2022 6:44:27,2.248,
8,Apr/14/2022 6:39:50,274.845,
7,Apr/14/2022 6:07:33,36.571,
6,Apr/14/2022 6:00:00,45.166,
5,Apr/14/2022 5:51:45,192.859,
4,Apr/13/2022 22:09:40,38.697,
3,Apr/12/2022 19:01:03,72.338,
2,Apr/12/2022 18:58:53,72.431,
1,Apr/12/2022 18:26:10,40.347,
