Run,RunStart,RunDuration,Comments,Junfrau Z,GasCell Pressure,GasCell X,GasCell Y,GasCell Pitch,GasCell Yaw,Pinhole X,Pinhole Y
215,Jun/7/2022 5:52:58,458.22,"2-IT, +100ps",-487.979,1.467,170.865,-101.1,50.7401,-38.7913,-28.0331,1.0201
214,Jun/7/2022 5:45:35,420.556,"2-IT, +10ps",-487.979,1.468,170.865,-101.1,50.7401,-38.7912,-28.0332,1.0201
213,Jun/7/2022 5:31:59,405.304,Neon calibration,-487.979,10.769,170.8649,-101.1,50.7401,-38.7914,-28.0331,1.02
212,Jun/7/2022 5:20:30,358.556,SF6 background,-487.979,10.695,170.865,-101.1,50.7401,-38.7913,-28.0331,1.0201
211,Jun/7/2022 5:10:05,381.279,"No gas, X-rays only.",-487.979,0.75,170.865,-101.1,50.7401,-38.7914,-28.0332,1.02
210,Jun/7/2022 5:07:56,98.753,TT Calibration,-487.979,0.752,170.865,-101.1,50.7401,-38.7914,-28.0332,1.02
209,Jun/7/2022 5:05:57,98.324,TT Calibration,-487.9788,0.75,170.865,-101.1,50.7401,-38.7914,-28.0331,1.02
208,Jun/7/2022 4:58:12,304.501,,-487.9788,1.468,170.865,-101.1,50.7401,-38.7913,-28.0331,1.0201
207,Jun/7/2022 4:52:38,303.433,,-487.9788,1.467,170.865,-101.1,50.7401,-38.7913,-28.0331,1.0201
206,Jun/7/2022 4:47:22,304.094,,-487.9788,1.468,170.865,-101.1,50.7401,-38.7912,-28.0333,1.0201
205,Jun/7/2022 4:42:04,303.414,,-487.9788,1.47,170.865,-101.1,50.7401,-38.7912,-28.0331,1.0201
204,Jun/7/2022 4:36:51,304.246,,-487.9788,1.466,170.865,-101.1,50.7401,-38.7912,-28.0331,1.02
203,Jun/7/2022 4:31:33,304.495,,-487.9788,1.468,170.865,-101.1,50.7401,-38.7914,-28.0332,1.02
202,Jun/7/2022 4:26:18,304.1,,-487.9788,1.467,170.865,-101.1,50.7401,-38.7913,-28.0332,1.0201
201,Jun/7/2022 4:21:04,303.97,,-487.9788,1.464,170.865,-101.1,50.7401,-38.7913,-28.0332,1.02
200,Jun/7/2022 4:14:02,304.377,,-487.9788,1.465,170.865,-101.1,50.7401,-38.7914,-28.0332,1.0201
199,Jun/7/2022 4:08:49,304.159,,-487.9788,1.464,170.865,-101.1,50.7401,-38.7913,-28.0332,1.0201
